1	10	1000000	0.0837348
1	10	1000000	0.0826253
1	10	1000000	0.0834073
2	10	1000000	0.150005
2	10	1000000	0.154246
2	10	1000000	0.154722
3	10	1000000	0.0616437
3	10	1000000	0.058073
3	10	1000000	0.0646701
4	10	1000000	0.0939804
4	10	1000000	0.0909275
4	10	1000000	0.0919562
5	10	1000000	0.0797071
5	10	1000000	0.0759423
5	10	1000000	0.0782606
6	10	1000000	0.0748569
6	10	1000000	0.0702322
6	10	1000000	0.0700492
7	10	1000000	0.05154
7	10	1000000	0.0522332
7	10	1000000	0.0510851
8	10	1000000	0.0678771
8	10	1000000	0.0660946
8	10	1000000	0.0618092
9	10	1000000	0.0452529
9	10	1000000	0.043816
9	10	1000000	0.040686
10	10	1000000	0.0447756
10	10	1000000	0.0476423
10	10	1000000	0.0470276
11	10	1000000	0.0380865
11	10	1000000	0.0378226
11	10	1000000	0.0403633
12	10	1000000	0.0458593
12	10	1000000	0.0418173
12	10	1000000	0.0426158
13	10	1000000	0.0395213
13	10	1000000	0.0362951
13	10	1000000	0.0398938
14	10	1000000	0.0450754
14	10	1000000	0.0433003
14	10	1000000	0.0423299
15	10	1000000	0.0444743
15	10	1000000	0.0428317
15	10	1000000	0.0423109
16	10	1000000	0.0423431
16	10	1000000	0.0451072
16	10	1000000	0.0442448
